Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
31.000000,21.282464,235.820129,236.778539,20.608701,166.792044,20.608701,166.792044
31.166667,22.166453,238.770433,239.797146,21.389271,168.439511,21.389271,168.439511
31.333333,23.097609,241.756406,242.857282,22.208423,170.088098,22.208423,170.088098
31.500000,24.078289,244.776763,245.958183,23.067807,171.735324,23.067807,171.735324
31.666667,25.110844,247.829916,249.098820,23.968995,173.378370,23.968995,173.378370
31.833333,26.197586,250.913947,252.277867,24.913449,175.014046,24.913449,175.014046
32.000000,27.340748,254.026573,255.493672,25.902467,176.638770,25.902467,176.638770
32.166667,28.517369,257.167806,258.744122,26.899531,178.252560,26.899531,178.252560
32.333333,29.804530,260.326512,262.027103,28.018180,179.838904,28.018180,179.838904
32.500000,31.128695,263.507217,265.339498,29.146051,181.404981,29.146051,181.404981
32.666667,32.490206,266.706404,268.678096,30.281644,182.946123,30.281644,182.946123
32.833333,33.967930,269.910268,272.039286,31.541341,184.442470,31.541341,184.442470
33.000000,35.484142,273.123354,275.418755,32.806764,185.901928,32.806764,185.901928
33.166667,37.037537,276.340920,278.811913,34.074353,187.318730,34.074353,187.318730
33.333333,38.707765,279.546464,282.213601,35.462216,188.669723,35.462216,188.669723
33.500000,40.411924,282.745034,285.618413,36.844944,189.964328,36.844944,189.964328
33.666667,42.145986,285.931169,289.020618,38.215813,191.196436,38.215813,191.196436
33.833333,43.989120,289.086285,292.413958,39.693349,192.340454,39.693349,192.340454
34.000000,45.852252,292.217103,295.792604,41.144249,193.408910,41.144249,193.408910
34.166667,47.756253,295.313992,299.150486,42.600745,194.389895,42.600745,194.389895
34.333333,49.692760,298.372161,302.481928,44.051918,195.278783,44.051918,195.278783
34.500000,51.652003,301.387758,305.781801,45.485514,196.072270,45.485514,196.072270
34.666667,53.622870,304.358174,309.045806,46.888107,196.768705,46.888107,196.768705
34.833333,55.593031,307.282350,312.270760,48.245344,197.368417,48.245344,197.368417
35.000000,57.549145,310.161078,315.454907,49.542277,197.873986,49.542277,197.873986
35.166667,59.477134,312.997270,318.598212,50.763786,198.290468,50.763786,198.290468
35.333333,61.362525,315.796166,321.702623,51.895066,198.625514,51.895066,198.625514
35.500000,63.190853,318.565481,324.772304,52.922166,198.889381,52.922166,198.889381
35.666667,64.948099,321.315457,327.813787,53.832537,199.094810,53.832537,199.094810
35.833333,66.621135,324.058817,330.836050,54.615563,199.256761,54.615563,199.256761
36.000000,68.198160,326.810613,333.850514,55.263024,199.392020,55.263024,199.392020
36.166667,69.669087,329.587988,336.870930,55.769457,199.518691,55.769457,199.518691
36.333333,71.025864,332.409842,339.913190,56.132387,199.655610,56.132387,199.655610
36.500000,72.262711,335.296460,342.995066,56.352404,199.821714,56.352404,199.821714
36.666667,73.376243,338.269083,346.135878,56.433088,200.035421,56.433088,200.035421
36.833333,74.365509,341.349503,349.356139,56.380782,200.314049,56.380782,200.314049
37.000000,75.231923,344.559654,352.677186,56.204249,200.673334,56.204249,200.673334
37.166667,75.979110,347.921274,356.120819,55.914229,201.127044,55.914229,201.127044
37.333333,76.612698,351.455608,359.708979,55.522946,201.686735,55.522946,201.686735
37.500000,77.140056,355.183200,363.463469,55.043608,202.361624,55.043608,202.361624
37.666667,77.570002,359.123753,367.405736,54.489905,203.158593,54.489905,203.158593
37.833333,77.912519,363.296067,371.556715,53.875572,204.082287,53.875572,204.082287
38.000000,78.178462,367.718047,375.936742,53.214007,205.135301,53.214007,205.135301
38.166667,78.379304,372.406776,380.565529,52.517963,206.318421,52.517963,206.318421
38.333333,78.526897,377.378635,385.462200,51.799332,207.630898,51.799332,207.630898
38.500000,78.633290,382.649478,390.645386,51.069004,209.070737,51.069004,209.070737
38.666667,78.710568,388.234831,396.133358,50.336794,210.634983,50.336794,210.634983
38.833333,78.770761,394.150121,401.944213,49.611461,212.319974,49.611461,212.319974
39.000000,78.825796,400.410907,408.096068,48.900791,214.121554,48.900791,214.121554
39.166667,78.887503,407.033090,414.607253,48.211732,216.035193,48.211732,216.035193
39.333333,78.967645,414.033056,421.496454,47.550557,218.055941,47.550557,218.055941
39.500000,79.077868,421.427713,428.782727,46.922860,220.178188,46.922860,220.178188
39.666667,79.229382,429.234502,436.485456,46.333131,222.395326,46.333131,222.395326
39.833333,79.432251,437.471823,444.624649,45.783704,224.699979,45.783704,224.699979
40.000000,79.694908,446.160369,453.222190,45.274000,227.085554,45.274000,227.085554
40.166667,80.024980,455.324825,462.303682,44.801706,229.548268,44.801706,229.548268
40.333333,80.431089,464.994246,471.899151,44.365377,232.087142,44.365377,232.087142
40.500000,80.923709,475.201114,482.042265,43.965581,234.701939,43.965581,234.701939
40.666667,81.514680,485.980797,492.769701,43.603978,237.391621,43.603978,237.391621
40.833333,82.216576,497.372066,504.121551,43.282147,240.154277,43.282147,240.154277
41.000000,83.042576,509.418074,516.142270,43.001098,242.987646,43.001098,242.987646
41.166667,84.006696,522.167382,528.881745,42.761273,245.889542,42.761273,245.889542
41.333333,85.124178,535.674966,542.396344,42.562704,248.858064,42.562704,248.858064
41.500000,86.411943,550.003259,556.750041,42.405164,251.891648,42.405164,251.891648
41.666667,87.889085,565.223361,572.015681,42.288286,254.989077,42.288286,254.989077
41.833333,89.577430,581.416455,588.276474,42.211617,258.149451,42.211617,258.149451
42.000000,91.502217,598.675503,605.627784,42.174683,261.372158,42.174683,261.372158
42.166667,93.692914,617.107321,624.179307,42.177012,264.656852,42.177012,264.656852
42.333333,96.184239,636.835101,644.057726,42.218163,268.003424,42.218163,268.003424
42.500000,99.017447,658.001523,665.409993,42.297745,271.411979,42.297745,271.411979
42.666667,102.241966,680.772606,688.407409,42.415435,274.882816,42.415435,274.882816
42.833333,105.917523,705.342526,713.250728,42.570985,278.416400,42.570985,278.416400
43.000000,110.116914,731.939678,740.176619,42.764248,282.013335,42.764248,282.013335
43.166667,114.929662,760.834378,769.465904,42.995164,285.674319,42.995164,285.674319
43.333333,120.466919,792.348743,801.454184,43.263763,289.400101,43.263763,289.400101
