Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
43.666667,135.453348,870.981540,881.451333,44.088186,298.180110,44.088186,298.180110
43.833333,144.166341,913.485812,924.792010,44.436293,302.103377,44.436293,302.103377
44.000000,154.458462,960.835782,973.171525,44.824847,306.099433,44.824847,306.099433
44.166667,166.726895,1013.934894,1027.551374,45.254213,310.169098,45.254213,310.169098
44.333333,181.506750,1073.926072,1089.156513,45.724821,314.313195,45.724821,314.313195
44.500000,199.533001,1142.275023,1159.571321,46.237029,318.532434,46.237029,318.532434
44.666667,221.837471,1220.890121,1240.880555,46.790870,322.827405,46.790870,322.827405
44.833333,249.905543,1312.298388,1335.881671,47.385737,327.198809,47.385737,327.198809
45.000000,285.938546,1419.909023,1448.413782,48.020275,331.648012,48.020275,331.648012
45.166667,333.310954,1548.415765,1583.883700,48.692797,336.177690,48.692797,336.177690
45.333333,397.404200,1704.421728,1750.138145,49.402224,340.791994,49.402224,340.791994
45.500000,487.210577,1897.418111,1958.971576,50.148894,345.495876,50.148894,345.495876
45.666667,618.618661,2141.289030,2228.857949,50.934560,350.294067,50.934560,350.294067
45.833333,821.651836,2456.373866,2590.151407,51.761736,355.190492,51.761736,355.190492
46.000000,1157.754960,2870.766532,3095.431639,52.632996,360.188330,52.632996,360.188330
46.166667,1764.257344,3410.892940,3840.155547,53.550639,365.290391,53.550639,365.290391
46.333333,2967.704837,4017.988392,4995.147918,54.516680,370.499452,54.516680,370.499452
46.500000,5408.028955,4034.629666,6747.222667,55.532931,375.818458,55.532931,375.818458
46.666667,8272.929897,961.632065,8328.631659,56.601154,381.250601,56.601154,381.250601
46.833333,6497.454150,-3425.209175,7344.996142,57.723127,386.799347,57.723127,386.799347
47.000000,3435.143587,-4032.733344,5297.466346,58.900729,392.468423,58.900729,392.468423
47.166667,1862.781931,-3375.970939,3855.792565,60.135972,398.261810,60.135972,398.261810
47.333333,1121.216132,-2723.612567,2945.367724,61.431012,404.183736,61.431012,404.183736
47.500000,739.131924,-2225.308867,2344.848727,62.788197,410.238665,62.788197,410.238665
47.666667,522.974803,-1853.070572,1925.454022,64.210051,416.431306,64.210051,416.431306
47.833333,391.056572,-1569.845643,1617.819701,65.699304,422.766607,65.699304,422.766607
48.000000,305.648884,-1348.845030,1383.041631,67.258901,429.249766,67.258901,429.249766
48.166667,247.748778,-1172.158780,1198.054950,68.892012,435.886241,68.892012,435.886241
48.333333,207.054065,-1027.811149,1048.459414,70.602044,442.681762,70.602044,442.681762
48.500000,177.628108,-907.634939,924.852922,72.392676,449.642334,72.392676,449.642334
48.666667,155.872087,-805.923645,820.858715,74.267850,456.774268,74.267850,456.774268
48.833333,139.509892,-718.592869,732.010056,76.231808,464.084181,76.231808,464.084181
49.000000,127.049499,-642.652883,655.091065,78.289121,471.579021,78.289121,471.579021
49.166667,117.482579,-575.870090,587.731671,80.444687,479.266087,80.444687,479.266087
49.333333,110.109656,-516.544763,528.150195,82.703777,487.153048,82.703777,487.153048
49.500000,104.434482,-463.361777,474.984945,85.072082,495.247957,85.072082,495.247957
49.666667,100.098088,-415.288205,427.181367,87.555706,503.559287,87.555706,503.559287
49.833333,96.836464,-371.501651,383.915065,90.161232,512.095947,90.161232,512.095947
50.000000,94.452684,-331.339169,344.538756,92.895759,520.867310,92.895759,520.867310
