DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
-2.510533,1.096302,1.421884
-2.494307,1.017790,1.485358
-2.475037,0.937798,1.547262
-2.452566,0.856198,1.607578
-2.426779,0.772931,1.666257
-2.397612,0.688023,1.723221
-2.365060,0.601580,1.778359
-2.329175,0.513787,1.831535
-2.290055,0.424891,1.882593
-2.247848,0.335196,1.931364
-2.202739,0.245040,1.977681
-2.154945,0.154779,2.021388
-2.104711,0.064775,2.062355
-2.052313,-0.024622,2.100498
-1.998044,-0.113095,2.135785
-1.942212,-0.200366,2.168247
-1.885118,-0.286216,2.197967
-1.827044,-0.370493,2.225077
-1.768224,-0.453117,2.249736
-1.708829,-0.534083,2.272112
-1.648952,-0.613452,2.292365
-1.588609,-0.691342,2.310628
-1.527736,-0.767908,2.327000
-1.466206,-0.843331,2.341536
-1.403839,-0.917790,2.354243
-1.340424,-0.991455,2.365085
-1.275728,-1.064467,2.373974
-1.209521,-1.136927,2.380784
-1.141581,-1.208884,2.385346
-1.071715,-1.280334,2.387460
-0.999770,-1.351208,2.386901
-0.925647,-1.421382,2.383440
-0.849313,-1.490672,2.376856
-0.770818,-1.558849,2.366958
-0.690291,-1.625648,2.353607
-0.607954,-1.690785,2.336728
-0.524104,-1.753973,2.316328
-0.439109,-1.814938,2.292491
-0.353383,-1.873434,2.265381
-0.267365,-1.929256,2.235229
-0.181492,-1.982247,2.202317
-0.096182,-2.032300,2.166959
-0.011807,-2.079362,2.129481
0.071323,-2.123428,2.090197
0.152978,-2.164537,2.049390
0.233014,-2.202770,2.007292
0.311390,-2.238236,1.964064
0.388163,-2.271068,1.919787
0.463485,-2.301412,1.874456
0.537593,-2.329413,1.827982
0.610782,-2.355208,1.780200
0.683382,-2.378911,1.730888
0.755729,-2.400607,1.679792
0.828128,-2.420343,1.626646
0.900832,-2.438127,1.571202
0.974013,-2.453928,1.513251
1.047748,-2.467676,1.452647
1.122012,-2.479273,1.389314
1.196674,-2.488596,1.323255
1.271507,-2.495504,1.254559
1.346199,-2.499850,1.183389
1.420367,-2.501486,1.109984
1.493577,-2.500273,1.034641
1.565365,-2.496091,0.957704
1.635264,-2.488839,0.879548
1.702827,-2.478448,0.800555
1.767657,-2.464883,0.721092
1.829427,-2.448143,0.641492
1.887902,-2.428267,0.562030
1.942954,-2.405322,0.482906
1.994565,-2.379407,0.404242
2.042824,-2.350642,0.326068
2.087918,-2.319164,0.248337
2.130113,-2.285118,0.170928
2.169731,-2.248653,0.093665
2.207128,-2.209915,0.016339
2.242662,-2.169046,-0.061274
2.276674,-2.126173,-0.139388
2.309453,-2.081408,-0.218188
2.341225,-2.034845,-0.297807
2.372129,-1.986554,-0.378317
2.402208,-1.936583,-0.459715
2.431402,-1.884953,-0.541918
2.459555,-1.831664,-0.624765
2.486423,-1.776695,-0.708027
2.511686,-1.720012,-0.791416
2.534981,-1.661569,-0.874606
2.555918,-1.601316,-0.957251
2.574110,-1.539205,-1.039007
2.589202,-1.475198,-1.119553
2.600884,-1.409268,-1.198604
2.608918,-1.341404,-1.275928
2.613142,-1.271619,-1.351349
2.613481,-1.199949,-1.424756
2.609947,-1.126455,-1.496097
2.602639,-1.051229,-1.565382
2.591733,-0.974387,-1.632670
2.577470,-0.896072,-1.698062
2.560145,-0.816448,-1.761690
2.540085,-0.735697,-1.823703
2.517626,-0.654008,-1.884248
2.493098,-0.571577,-1.943462
2.466798,-0.488597,-2.001450
2.438976,-0.405249,-2.058280
2.409820,-0.321702,-2.113971
2.379448,-0.238101,-2.168492
2.347901,-0.154571,-2.221759
2.315150,-0.071207,-2.273642
2.281100,0.011924,-2.323975
2.245600,0.094784,-2.372563
2.208456,0.177362,-2.419198
2.169450,0.259671,-2.463668
2.128352,0.341743,-2.505770
2.084939,0.423622,-2.545321
2.039012,0.505356,-2.582166
1.990406,0.586988,-2.616186
1.939011,0.668549,-2.647298
1.884769,0.750050,-2.675461
1.827691,0.831475,-2.700670
1.767845,0.912779,-2.722954
1.705365,0.993880,-2.742369
1.640434,1.074667,-2.758990
1.573280,1.154993,-2.772902
1.504164,1.234686,-2.784194
1.433366,1.313550,-2.792953
1.361177,1.391374,-2.799254
1.287883,1.467937,-2.803166
1.213757,1.543024,-2.804740
1.139046,1.616427,-2.804014
1.063962,1.687961,-2.801012
0.988679,1.757469,-2.795743
0.913318,1.824827,-2.788204
0.837954,1.889949,-2.778378
0.762610,1.952791,-2.766240
0.687260,2.013346,-2.751756
0.611839,2.071644,-2.734887
0.536249,2.127744,-2.715594
0.460369,2.181728,-2.693837
0.384068,2.233691,-2.669585
0.307215,2.283736,-2.642809
0.229694,2.331957,-2.613491
0.151410,2.378435,-2.581620
0.072299,2.423227,-2.547192
-0.007661,2.466360,-2.510216
-0.088449,2.507824,-2.470706
-0.169995,2.547571,-2.428687
-0.252178,2.585515,-2.384196
-0.334831,2.621534,-2.337279
-0.417741,2.655476,-2.287996
-0.500662,2.687167,-2.236420
-0.583319,2.716420,-2.182638
-0.665421,2.743047,-2.126747
-0.746674,2.766865,-2.068858
-0.826794,2.787715,-2.009091
-0.905516,2.805461,-1.947572
-0.982609,2.820005,-1.884434
-1.057882,2.831289,-1.819804
-1.131197,2.839297,-1.753809
-1.202466,2.844059,-1.686563
-1.271662,2.845645,-1.618166
-1.338812,2.844163,-1.548700
-1.403996,2.839747,-1.478225
-1.467337,2.832556,-1.406775
-1.528991,2.822753,-1.334365
-1.589135,2.810505,-1.260986
-1.647948,2.795965,-1.186617
-1.705599,2.779264,-1.111223
-1.762230,2.760507,-1.034770
-1.817943,2.739763,-0.957227
-1.872790,2.717064,-0.878578
-1.926763,2.692404,-0.798824
-1.979794,2.665740,-0.717991
-2.031752,2.636998,-0.636137
-2.082450,2.606080,-0.553349
-2.131651,2.572869,-0.469745
-2.179083,2.537244,-0.385478
-2.224447,2.499086,-0.300724
-2.267438,2.458290,-0.215683
-2.307762,2.414775,-0.130567
-2.345149,2.368490,-0.045594
-2.379372,2.319423,0.039021
-2.410258,2.267601,0.123077
-2.437702,2.213093,0.206398
-2.461667,2.156009,0.288835
-2.482190,2.096493,0.370276
-2.499375,2.034722,0.450650
-2.513390,1.970890,0.529921
-2.524449,1.905206,0.608095
-2.532803,1.837882,0.685205
-2.538719,1.769120,0.761311
-2.542463,1.699109,0.836490
-2.544282,1.628013,0.910820
-2.544386,1.555965,0.984378
-2.542934,1.483068,1.057220
-2.540024,1.409385,1.129380
-2.535684,1.334946,1.200854
-2.529871,1.259752,1.271601
-2.522475,1.183773,1.341539
-2.513323,1.106964,1.410545
-2.502198,1.029265,1.478456
-2.488847,0.950617,1.545085
-2.473006,0.870964,1.610219
-2.454414,0.790268,1.673636
-2.432833,0.708510,1.735118
-2.408067,0.625700,1.794454
-2.379973,0.541881,1.851458
-2.348473,0.457127,1.905976
-2.313562,0.371547,1.957889
-2.275310,0.285284,2.007123
-2.233855,0.198504,2.053647
-2.189401,0.111398,2.097470
-2.142204,0.024170,2.138645
-2.092561,-0.062969,2.177251
-2.040785,-0.149811,2.213394
-1.987196,-0.236156,2.247194
-1.932097,-0.321823,2.278770
-1.875762,-0.406652,2.308236
-1.818416,-0.490511,2.335686
-1.760229,-0.573298,2.361186
-1.701304,-0.654943,2.384772
-1.641682,-0.735402,2.406441
-1.581337,-0.814662,2.426153
-1.520184,-0.892731,2.443832
-1.458093,-0.969633,2.459373
-1.394897,-1.045402,2.472643
-1.330413,-1.120078,2.483496
-1.264454,-1.193694,2.491779
-1.196846,-1.266275,2.497340
-1.127447,-1.337829,2.500046
-1.056158,-1.408344,2.499781
-0.982932,-1.477783,2.496462
-0.907784,-1.546083,2.490040
-0.830791,-1.613159,2.480504
-0.752092,-1.678900,2.467881
-0.671881,-1.743174,2.452234
-0.590400,-1.805834,2.433658
-0.507927,-1.866724,2.412272
-0.424760,-1.925682,2.388215
-0.341207,-1.982548,2.361632
-0.257566,-2.037170,2.332675
-0.174119,-2.089411,2.301485
-0.091110,-2.139155,2.268191
-0.008742,-2.186304,2.232903
0.072829,-2.230791,2.195707
0.153503,-2.272574,2.156660
0.233234,-2.311636,2.115796
0.312025,-2.347987,2.073119
0.389924,-2.381658,2.028612
0.467015,-2.412697,1.982240
0.543407,-2.441165,1.933954
0.619221,-2.467130,1.883700
0.694580,-2.490659,1.831425
0.769594,-2.511818,1.777081
0.844350,-2.530660,1.720635
0.918905,-2.547226,1.662073
0.993273,-2.561539,1.601401
1.067427,-2.573602,1.538650
1.141295,-2.583397,1.473878
1.214757,-2.590886,1.407165
1.287656,-2.596015,1.338615
