DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
1.672042,0.975347,-2.687249
1.619074,1.048298,-2.708207
1.562134,1.120949,-2.724800
1.501437,1.193235,-2.737173
1.437400,1.265068,-2.745662
1.370618,1.336339,-2.750774
1.301791,1.406937,-2.753122
1.231661,1.476748,-2.753360
1.160960,1.545637,-2.752110
1.090358,1.613450,-2.749903
1.020413,1.680007,-2.747129
0.951562,1.745095,-2.744010
0.884078,1.808497,-2.740597
0.818076,1.870001,-2.736780
0.753512,1.929424,-2.732312
0.690180,1.986641,-2.726839
0.627721,2.041590,-2.719915
0.565652,2.094282,-2.711041
0.503381,2.144802,-2.699685
0.440278,2.193281,-2.685335
0.375741,2.239881,-2.667541
0.309268,2.284762,-2.645968
0.240517,2.328064,-2.620429
0.169342,2.369888,-2.590904
0.095774,2.410308,-2.557525
0.020007,2.449361,-2.520546
-0.057655,2.487061,-2.480306
-0.136829,2.523398,-2.437191
-0.217070,2.558328,-2.391600
-0.297883,2.591758,-2.343933
-0.378738,2.623550,-2.294577
-0.459059,2.653505,-2.243898
-0.538267,2.681382,-2.192234
-0.615800,2.706913,-2.139880
-0.691154,2.729824,-2.087065
-0.763925,2.749860,-2.033942
-0.833855,2.766806,-1.980552
-0.900843,2.780494,-1.926826
-0.964966,2.790826,-1.872575
-1.026462,2.797766,-1.817512
-1.085697,2.801345,-1.761285
-1.143119,2.801660,-1.703528
-1.199206,2.798867,-1.643907
-1.254412,2.793168,-1.582167
-1.309142,2.784814,-1.518154
-1.363720,2.774082,-1.451828
-1.418385,2.761264,-1.383257
-1.473283,2.746646,-1.312596
-1.528454,2.730479,-1.240076
-1.583825,2.712957,-1.165982
-1.639213,2.694198,-1.090635
-1.694317,2.674227,-1.014374
-1.748752,2.652983,-0.937536
-1.802073,2.630328,-0.860432
-1.853820,2.606063,-0.783325
-1.903546,2.579954,-0.706417
-1.950865,2.551753,-0.629833
-1.995451,2.521210,-0.553629
-2.037064,2.488090,-0.477796
-2.075537,2.452190,-0.402277
-2.110774,2.413344,-0.326991
-2.142738,2.371440,-0.251858
-2.171455,2.326432,-0.176808
-2.196989,2.278341,-0.101802
-2.219465,2.227271,-0.026831
-2.239053,2.173402,0.048088
-2.255976,2.116982,0.122918
-2.270496,2.058316,0.197610
-2.282902,1.997746,0.272105
-2.293475,1.935627,0.346326
-2.302469,1.872303,0.420177
-2.310075,1.808087,0.493534
-2.316413,1.743239,0.566248
-2.321522,1.677961,0.638150
-2.325372,1.612384,0.709068
-2.327872,1.546569,0.778846
-2.328897,1.480509,0.847358
-2.328289,1.414126,0.914521
-2.325873,1.347286,0.980299
-2.321465,1.279803,1.044692
-2.314871,1.211461,1.107731
-2.305897,1.142033,1.169457
-2.294358,1.071305,1.229907
-2.280082,0.999098,1.289099
-2.262926,0.925290,1.347019
-2.242782,0.849831,1.403618
-2.219585,0.772745,1.458810
-2.193316,0.694135,1.512476
-2.164005,0.614174,1.564468
-2.131723,0.533097,1.614618
-2.096583,0.451185,1.662746
-2.058732,0.368752,1.708672
-2.018347,0.286125,1.752231
-1.975637,0.203638,1.793286
-1.930841,0.121609,1.831749
-1.884222,0.040326,1.867584
-1.836063,-0.039956,1.900818
-1.786645,-0.119043,1.931537
-1.736233,-0.196797,1.959873
-1.685052,-0.273151,1.985987
-1.633269,-0.348104,2.010049
-1.580975,-0.421717,2.032217
-1.528191,-0.494098,2.052625
-1.474863,-0.565395,2.071370
